,customer_code,dispatch_weight,order_value_weight,final_weights,new_shift
5961,22212,6.120700208103807e-05,9.170728300718161e-05,1.5714208237022317e-05,evng
6802,23599,9.691108662831026e-05,5.789515589324973e-05,1.570736224538538e-05,evng
274,1551,8.160933610805074e-05,6.856096260616003e-05,1.5664059356325842e-05,evng
421,1778,0.0001453666299424654,3.8479569284692156e-05,1.5659665937738737e-05,both
6813,23613,0.0001326151711755825,4.2152218951427503e-05,1.5649527167586824e-05,mrng
7086,23978,6.630758558779124e-05,8.427571594288797e-05,1.5644195478010428e-05,both
6704,23488,3.0603501040519036e-05,0.00018248097863931572,1.5634222297313457e-05,evng
5013,20107,7.3958460847921e-05,7.543686741606637e-05,1.5619210532841256e-05,mrng
3997,17616,0.00011221283714856977,4.970227501318386e-05,1.5613719746495586e-05,both
4967,20004,0.0001071122536418166,5.196172131379114e-05,1.5581535555648398e-05,mrng
5235,20597,0.00011731342065532296,4.7355476996942355e-05,1.5552688812993493e-05,mrng
5526,21282,0.00016066838046272492,3.4546872389228034e-05,1.5539130734868567e-05,mrng
4055,17753,9.436079487493368e-05,5.876131795802014e-05,1.5522822355100454e-05,evng
2770,7721,7.650875260129757e-05,7.230746146631615e-05,1.548751731205441e-05,evng
4009,17643,5.1005835067531715e-05,0.00010834164831746358,1.5470447262346814e-05,evng
80,1204,0.0001810707144897376,3.05041692230797e-05,1.546304378274886e-05,evng
4352,18516,0.00018617129799649077,2.9641913868669564e-05,1.5449219244804678e-05,mrng
4659,19241,0.0001096625453951932,5.025089500383053e-05,1.5427291731280887e-05,mrng
1055,3227,0.0001096625453951932,5.01273862109328e-05,1.5389373875703063e-05,evng
3818,17174,8.670991961480392e-05,6.333030666266245e-05,1.5373329774211827e-05,evng
4421,18696,7.650875260129757e-05,7.168382827171308e-05,1.535394147213523e-05,mrng
2076,5777,0.00013516546292895905,4.0548052381861136e-05,1.5343459940122252e-05,evng
2500,7027,9.436079487493368e-05,5.805807371784485e-05,1.533704817930189e-05,mrng
405,1758,7.905904435467418e-05,6.921400889198569e-05,1.5319095851526098e-05,evng
2715,7605,6.375729383441465e-05,8.56989880001494e-05,1.5296537560605608e-05,both
6540,23241,8.926021136818051e-05,6.120304103344344e-05,1.5293908282623013e-05,evng
2349,6621,9.691108662831026e-05,5.632637524396696e-05,1.5281741041648222e-05,mrng
4502,18866,6.885787734116782e-05,7.91757274570823e-05,1.5262766557384484e-05,mrng
